sk_fato,data_referencia,sk_indicador,valor,preenchido,vigencia_inicio,vigencia_fim,registro_atual
276,2024-02-01,3,5.3238,False,2026-05-28 18:52:28.093221,,True
277,2024-02-01,3,5.3415,False,2026-05-28 18:52:28.093221,,True
278,2024-02-02,1,0.041957,False,2026-05-28 18:52:28.093221,,True
279,2024-02-02,2,4.9465,False,2026-05-28 18:52:28.093221,,True
280,2024-02-02,2,4.9684,False,2026-05-28 18:52:28.093221,,True
281,2024-02-02,2,4.9545,False,2026-05-28 18:52:28.093221,,True
282,2024-02-02,2,4.9147,False,2026-05-28 18:52:28.093221,,True
283,2024-02-02,2,4.9484,False,2026-05-28 18:52:28.093221,,True
284,2024-02-02,3,5.3427,False,2026-05-28 18:52:28.093221,,True
285,2024-02-02,3,5.3664,False,2026-05-28 18:52:28.093221,,True
286,2024-02-02,3,5.3528,False,2026-05-28 18:52:28.093221,,True
287,2024-02-02,3,5.3477,False,2026-05-28 18:52:28.093221,,True
288,2024-02-02,3,5.3497,False,2026-05-28 18:52:28.093221,,True
289,2024-02-03,1,0.041957,True,2026-05-28 18:52:28.093221,,True
290,2024-02-03,2,4.9484,True,2026-05-28 18:52:28.093221,,True
291,2024-02-03,3,5.3497,True,2026-05-28 18:52:28.093221,,True
292,2024-02-04,1,0.041957,True,2026-05-28 18:52:28.093221,,True
293,2024-02-04,2,4.9484,True,2026-05-28 18:52:28.093221,,True
294,2024-02-04,3,5.3497,True,2026-05-28 18:52:28.093221,,True
295,2024-02-05,1,0.041957,False,2026-05-28 18:52:28.093221,,True
296,2024-02-05,2,4.9956,False,2026-05-28 18:52:28.093221,,True
297,2024-02-05,2,4.9972,False,2026-05-28 18:52:28.093221,,True
298,2024-02-05,2,5.0162,False,2026-05-28 18:52:28.093221,,True
299,2024-02-05,2,5.0098,False,2026-05-28 18:52:28.093221,,True
300,2024-02-05,2,5.0047,False,2026-05-28 18:52:28.093221,,True
301,2024-02-05,3,5.3693,False,2026-05-28 18:52:28.093221,,True
302,2024-02-05,3,5.3655,False,2026-05-28 18:52:28.093221,,True
303,2024-02-05,3,5.3824,False,2026-05-28 18:52:28.093221,,True
304,2024-02-05,3,5.373,False,2026-05-28 18:52:28.093221,,True
305,2024-02-05,3,5.3675,False,2026-05-28 18:52:28.093221,,True
306,2024-02-06,1,0.041957,False,2026-05-28 18:52:28.093221,,True
307,2024-02-06,2,4.9627,False,2026-05-28 18:52:28.093221,,True
308,2024-02-06,2,4.9681,False,2026-05-28 18:52:28.093221,,True
309,2024-02-06,2,4.9607,False,2026-05-28 18:52:28.093221,,True
310,2024-02-06,2,4.9748,False,2026-05-28 18:52:28.093221,,True
311,2024-02-06,2,4.974,False,2026-05-28 18:52:28.093221,,True
312,2024-02-06,3,5.3289,False,2026-05-28 18:52:28.093221,,True
313,2024-02-06,3,5.3362,False,2026-05-28 18:52:28.093221,,True
314,2024-02-06,3,5.3283,False,2026-05-28 18:52:28.093221,,True
315,2024-02-06,3,5.338,False,2026-05-28 18:52:28.093221,,True
316,2024-02-06,3,5.3406,False,2026-05-28 18:52:28.093221,,True
317,2024-02-07,1,0.041957,False,2026-05-28 18:52:28.093221,,True
318,2024-02-07,2,4.9588,False,2026-05-28 18:52:28.093221,,True
319,2024-02-07,2,4.9654,False,2026-05-28 18:52:28.093221,,True
320,2024-02-07,2,4.9557,False,2026-05-28 18:52:28.093221,,True
321,2024-02-07,2,4.9607,False,2026-05-28 18:52:28.093221,,True
322,2024-02-07,2,4.9602,False,2026-05-28 18:52:28.093221,,True
323,2024-02-07,3,5.3416,False,2026-05-28 18:52:28.093221,,True
324,2024-02-07,3,5.3467,False,2026-05-28 18:52:28.093221,,True
325,2024-02-07,3,5.3373,False,2026-05-28 18:52:28.093221,,True
326,2024-02-07,3,5.3357,False,2026-05-28 18:52:28.093221,,True
327,2024-02-07,3,5.3352,False,2026-05-28 18:52:28.093221,,True
328,2024-02-08,1,0.041957,False,2026-05-28 18:52:28.093221,,True
329,2024-02-08,2,4.9766,False,2026-05-28 18:52:28.093221,,True
330,2024-02-08,2,4.9798,False,2026-05-28 18:52:28.093221,,True
331,2024-02-08,2,4.9849,False,2026-05-28 18:52:28.093221,,True
332,2024-02-08,2,4.977,False,2026-05-28 18:52:28.093221,,True
333,2024-02-08,2,4.9807,False,2026-05-28 18:52:28.093221,,True
334,2024-02-08,3,5.3459,False,2026-05-28 18:52:28.093221,,True
335,2024-02-08,3,5.3578,False,2026-05-28 18:52:28.093221,,True
336,2024-02-08,3,5.3633,False,2026-05-28 18:52:28.093221,,True
337,2024-02-08,3,5.3528,False,2026-05-28 18:52:28.093221,,True
338,2024-02-08,3,5.3607,False,2026-05-28 18:52:28.093221,,True
339,2024-02-09,1,0.041957,False,2026-05-28 18:52:28.093221,,True
340,2024-02-09,2,4.979,False,2026-05-28 18:52:28.093221,,True
341,2024-02-09,2,4.9716,False,2026-05-28 18:52:28.093221,,True
342,2024-02-09,2,4.9676,False,2026-05-28 18:52:28.093221,,True
343,2024-02-09,2,4.9661,False,2026-05-28 18:52:28.093221,,True
344,2024-02-09,2,4.9711,False,2026-05-28 18:52:28.093221,,True
345,2024-02-09,3,5.3599,False,2026-05-28 18:52:28.093221,,True
346,2024-02-09,3,5.3609,False,2026-05-28 18:52:28.093221,,True
347,2024-02-09,3,5.3551,False,2026-05-28 18:52:28.093221,,True
348,2024-02-09,3,5.3554,False,2026-05-28 18:52:28.093221,,True
349,2024-02-09,3,5.3608,False,2026-05-28 18:52:28.093221,,True
350,2024-02-10,1,0.041957,True,2026-05-28 18:52:28.093221,,True
351,2024-02-10,2,4.9711,True,2026-05-28 18:52:28.093221,,True
352,2024-02-10,3,5.3608,True,2026-05-28 18:52:28.093221,,True
353,2024-02-11,1,0.041957,True,2026-05-28 18:52:28.093221,,True
354,2024-02-11,2,4.9711,True,2026-05-28 18:52:28.093221,,True
355,2024-02-11,3,5.3608,True,2026-05-28 18:52:28.093221,,True
356,2024-02-12,1,0.041957,True,2026-05-28 18:52:28.093221,,True
357,2024-02-12,2,4.9711,True,2026-05-28 18:52:28.093221,,True
358,2024-02-12,3,5.3608,True,2026-05-28 18:52:28.093221,,True
359,2024-02-13,1,0.041957,True,2026-05-28 18:52:28.093221,,True
360,2024-02-13,2,4.9711,True,2026-05-28 18:52:28.093221,,True
361,2024-02-13,3,5.3608,True,2026-05-28 18:52:28.093221,,True
362,2024-02-14,1,0.041957,False,2026-05-28 18:52:28.093221,,True
363,2024-02-14,2,4.9721,False,2026-05-28 18:52:28.093221,,True
364,2024-02-14,2,4.9712,False,2026-05-28 18:52:28.093221,,True
365,2024-02-14,2,4.9717,False,2026-05-28 18:52:28.093221,,True
366,2024-02-14,3,5.3346,False,2026-05-28 18:52:28.093221,,True
367,2024-02-14,3,5.3326,False,2026-05-28 18:52:28.093221,,True
368,2024-02-14,3,5.3331,False,2026-05-28 18:52:28.093221,,True
369,2024-02-15,1,0.041957,False,2026-05-28 18:52:28.093221,,True
370,2024-02-15,2,4.9776,False,2026-05-28 18:52:28.093221,,True
371,2024-02-15,2,4.9709,False,2026-05-28 18:52:28.093221,,True
372,2024-02-15,2,4.966,False,2026-05-28 18:52:28.093221,,True
